"species","pop","GSD","GAD","ASD"
"S","S6",6.08,3.44,3.25
"O","O6",7.99,3.74,0.49
"O","O6",8.14,5.93,1.17
"O","O6",11.65,4.04,4.39
"O","O6",5.92,3.56,1.02
"O","O6",11.48,5.19,2.05
"O","O6",8.27,5.35,0.3
"O","O6",NA,6.48,2.25
"D","D4",7.78,NA,NA
"D","D4",5.98,8.69,7.53
"D","D4",6.53,NA,NA
"D","D4",NA,8.12,6.87
"D","D4",NA,8.62,9.58
"O","O5",7.98,4.5,1.9
"O","O5",11.66,NA,0
"O","O5",4.32,5.74,4.71
"O","O5",3.95,4.5,5.18
"O","O5",3.5,4.51,7.82
"O","O5",6.08,4.91,7.72
"W","W11",NA,5.52,3.55
"W","W11",9.83,6,1.65
"W","W11",7.48,5.02,2.64
"W","W11",7.26,NA,NA
"W","W11",8.19,5.82,4.61
"W","W11",7.77,5.5,2.65
"W","W11",7.95,4.59,5.56
"W","W11",9.1,5.99,3.7
"W","W11",6.84,4.89,0.91
"W","W11",9.62,4.24,2.44
"W","W11",8.79,5.27,1.73
"W","W11",9.37,6.1,3.63
"W","W11",8.39,4.47,1.65
"H","H6",4.92,4.94,1.49
"H","H6",4.22,3.43,1.86
"H","H6e",NA,4.13,2.73
"H","H6e",4.15,4.07,1.06
"H","H6e",NA,3.45,1.73
"O","O1",6.49,4.67,2.58
"O","O1",8.68,4.85,1.04
"O","O1",NA,NA,5.45
"D","D6",6.34,9.27,6.15
"D","D6",3.78,9.58,9.48
"D","D6",5.86,9.57,8.73
"D","D6",NA,9.02,NA
"D","D6",NA,7.51,NA
"D","D6",6.96,8.73,7.54
"D","D6",7.46,10.09,5.07
"D","D6",7.07,9.79,8.35
"D","D6",7.41,10.56,6.29
"D","D6",6.26,9.7,8.58
"D","D6",6.17,8.89,6.51
"D","D6",4.89,8.07,6.59
"T","T4",15.49,11.31,2.4
"D","D2",6.16,10.02,14.4
"D","D2",7.22,11.04,10.81
"T","T4",13.5,12.04,6.6
"T","T4",10.83,10.89,3.61
"T","T4",12.55,12.91,4.08
"T","T4",12.38,11.64,1.95
"T","T4",13.62,12.03,4.42
"T","T4",13.97,11.43,0
"T","T4",NA,12.12,NA
"T","T4",NA,12.56,NA
"T","T4",NA,11.23,NA
"S3","S30",NA,NA,NA
"S3","S30",NA,NA,NA
"S3","S30",2.85,2.54,3.52
"S3","S30",2.19,NA,NA
"S3","S30",3.35,NA,NA
"S3","S30",3.38,3.35,2.4
"S3","S30",3.06,2.7,2.39
"S3","S30",3.08,2.86,2.93
"T","T4",14.31,11.01,3.86
"T","T4",NA,11.59,4.33
"T","T4",15.14,11.05,2.23
"T","T4",13.61,10.77,1.41
"S3","S30",3.25,3.54,2.01
"S3","S30",4.53,4.17,0.51
"S3","S30",3.95,4.33,2.51
"S3","S30",3.98,4.16,1.97
"T","T4",13.21,9.22,1.55
"S3","S30",4.22,4.35,2.71
"S3","S30",4.48,3.54,1.02
"T","T4",9.82,10.57,4.54
"T","T4",17.16,11.98,2.72
"T","T4",12.42,11.15,3.22
"T","T4",13.43,9.4,1.86
"T","T4",10.79,10.42,3.84
"W","W5",11.86,8.03,2.59
"W","W5",9.88,6.81,3.88
"W","W5",NA,4.69,6.11
"W","W5",9.82,5.73,4.46
"W","W5",9.92,5.39,5.06
"W","W5",8.5,2.88,5.33
"W","W5",8.89,4.61,2.71
"W","W5",10.54,NA,NA
"H","H3",4.2,NA,NA
"H","H5",4.75,5.15,2.58
"H","H6",5.16,3.39,1.37
"H","H6",4.08,3.03,2.27
"H","H6",4.47,3.47,1.09
"O","O6",NA,5.4,NA
"S3","S30",3.4,4.02,3.49
"S3","S30",3.37,4.1,1.02
"T","T3",NA,8.05,NA
"T","T3",15.3,11,2.86
"T","T3",13.73,9.45,4.14
"T","T3",13.41,9.17,0.72
"T","T3",NA,10.11,NA
"T","T3",14.66,NA,NA
"T","T3",15.85,11.59,0.66
"T","T3",11.68,9.47,2.14
"T","T3",NA,NA,NA
"S2","S.M4",3.74,3.21,1.27
"S2","S.M4",4.2,3.02,0.77
"S2","S.M1",2.29,2.68,0
"S2","S.M3",3.46,2.76,1.49
"S2","S.M3",4.14,2.54,2.43
"S2","S.M3",3.71,2.76,2.17
"S2","S.M3",3.47,2.26,2.68
"S2","S.M2",4.01,3.13,0.1
"S2","S.M2",4.03,2.97,0.3
"S2","S.M4",3.99,NA,NA
"S2","S.M4",4.15,3.47,0.5
"S2","S.M1",2.66,1.34,0.91
"S2","S.M1",2.4,1.66,0.65
"S2","S.M1",4.04,1.97,NA
"S2","S.M1",3.29,2.18,0
"S2","S.M4",5.44,3.71,0.1
"S2","S.M4",4.76,3.69,0.2
"S2","S.M4",4.7,3.43,0.8
"S2","S.M1",3.75,2.29,0
"S2","S.M1",NA,1.88,NA
"S2","S.M1",4.28,2.74,0
"S2","S.M4",4.4,2.83,0.61
"S2","S.M4",4.74,3.28,0
"S2","S.M4",4.68,3.26,0.88
"S2","S.D1",3.17,2.09,0
"S2","S.D2",4.57,2.12,0
"S2","S.D2",3.26,2.13,0.2
"S2","S.D2",4.54,1.84,0.39
"S2","S.M1",3.33,2.52,0
"S2","S.M3",4.6,3.19,0
"S2","S.M3",4.47,3.03,0.48
"S2","S.M3",4.87,3.01,1.13
"S2","S.M3",4.84,2.9,0.3
"S2","S.M3",4.94,3.08,0
"S4","S.P.1",4.21,3.43,3.87
"S4","S.P.1",4.58,3.84,4.28
"S4","S.P.1",4.19,NA,4.33
"S4","S.P.1",2.41,1.5,2.81
"S4","S.P.1",5.55,3.92,3.86
