"species","pop","patch","GSD","GAD","ASD"
"S","S1","L",3.43,3.4,1.66
"S","S1","M",3.9,3.9,2.9
"S","S1","M",4.01,3.72,2.55
"S","S1","M",4.43,2.86,1.83
"S","S1","N",5.5,4.5,4.29
"S","S1","O",5.41,4.85,1.4
"S","S1","P",5.26,6.29,2.86
"S","S9e","A",6.34,6.11,2.51
"S","S9e","A",6.72,5.78,1.14
"S","S9e","B",5.51,6.32,3.04
"S","S9e","B",6.23,5.53,3.15
"S","S8","A",5.78,7.35,4.75
"S","S8","B",5.31,5.49,4.98
"S","S8","C",6.38,5.46,4.65
"S","S8","D",5.24,4.86,3.59
"S","S8","E",5.05,6.01,4.75
"S","S8","F",6.78,6.53,6.52
"S","S8","G",5.96,6.06,1.87
"S","S7","A",4.87,4.01,4.25
"S","S7","B",6,4.52,3.47
"S","S7","C",5.29,6.37,3.26
"S","S7","C",5.46,5.61,4.14
"S","S7","C",5.95,4.44,3.13
"S","S7","C",5.12,3.46,4.25
"S","S7","C",4.57,4.99,5.66
"S","S7","C",5.1,4.74,3.86
"S","S7","D",6.41,5.44,4.14
"S","S7","D",5.33,4.66,3.44
"S","S7","D",6.03,4.1,4.53
"S","S9","A",6.94,5.94,4.78
"S","S9","A",7.37,6.85,3.36
"S","S9","B",4.65,6.09,4.85
"S","S9","B",4.92,4.83,4.7
"S","S9","B",5.52,5.98,5.2
"S","S9","B",5.41,5.67,4.87
"S","S9","B",4.6,4.86,4.36
"S","S9","B",5.05,5.64,4.2
"S","S9","B",5.28,5.69,4.47
"S","S9","B",5.72,5.29,5.01
"S","Catalina","A",6.29,7.06,4.12
"S","Catalina","B",7.12,5.96,3.4
"S","Catalina","C",6.46,5.51,1.94
"S","Catalina","D",6.27,5.79,3.26
"S","Catalina","E",4.72,4.86,1.93
"S","S8","H",6.08,5.83,4.77
"S","S8","I",5.78,6.91,5.5
"S","S8","J",5.05,5.22,3.27
"S","S8","K",5.02,3.59,6.62
"S","S8","L",5.73,5.71,4.09
"S","S8","N",5.89,6.4,3.49
"S","S8","O",5.74,6.97,4.76
"S","S8","P",4.16,3.8,3.43
"S","S7","F",5.71,4.8,3.05
"S","S7","F",4.95,5.48,1.55
"S","S7","F",6.83,5.48,3.06
"S","S7","F",5.66,3.9,3.62
"S","S7","G",5.42,3.62,5.39
"S","S7","G",5.27,2.62,3.35
"S","S7","G",4.78,4.15,2.59
"S","S7","H",5.77,4.69,4.95
"S","S7","H",7.7,5.18,6.22
"S","S7","D",8.11,4.8,5.42
"S","S7","I",5.53,4.01,4.05
"S","S7","J",4.95,4.56,2.65
"S","S7","F",5.24,4.55,3.94
